"Energy.Consumption" "Year" "Oil" "Elec" "Coal" "Gas" "CO2"
"4" "Belgium" 2019 19 83 4 19 97.99
"5" "Czech Republic" 2019 9 59 43 9 99.71
"6" "France" 2019 67 437 11 42 301.79
"7" "Germany" 2019 96 517 171 95 672.99
"8" "Italy" 2019 52 301 11 74 317.61
"9" "Netherlands" 2019 26 112 10 45 170.45
"10" "Poland" 2019 30 148 113 21 302.08
"11" "Portugal" 2019 9 48 2 6 47.62
"12" "Romania" 2019 10 49 25 12 74.78
"13" "Spain" 2019 51 239 8 35 239.62
"14" "Sweden" 2019 11 120 3 1 39.32
"15" "United Kingdom" 2019 57 303 9 80 345.64
"16" "Norway" 2019 8 125 1 7 40.02
"17" "Turkey" 2019 42 254 121 45 376.83
"18" "Kazakhstan" 2019 14 77 91 31 265.8
"19" "Russia" 2019 136 922 225 501 1754.47
"20" "Ukraine" 2019 11 118 46 29 176.61
"21" "Uzbekistan" 2019 2 49 5 41 89.44
"22" "Canada" 2019 101 543 31 129 569.33
"23" "United States" 2019 760 3865 546 877 4920.32
"24" "Argentina" 2019 26 125 1 50 170.74
"25" "Brazil" 2019 102 536 27 36 410.04
"26" "Chile" 2019 16 73 12 6 86.43
"27" "Colombia" 2019 15 64 6 12 83.3
"28" "Mexico" 2019 80 307 18 77 433.31
"29" "Venezuela" 2019 16 60 0 16 86.56
"30" "China" 2019 617 6510 3826 304 9729.01
"31" "India" 2019 224 1230 948 64 2222.27
"32" "Indonesia" 2019 80 245 136 40 580.96
"33" "Japan" 2019 151 918 187 108 1045.02
"34" "Malaysia" 2019 30 155 35 42 243.59
"35" "South Korea" 2019 102 553 132 55 649.94
"36" "Taiwan" 2019 38 250 65 21 280.31
"37" "Thailand" 2019 55 194 36 44 271.38
"38" "Australia" 2019 49 235 101 47 395.44
"39" "New Zealand" 2019 7 40 3 5 32.77
"40" "Algeria" 2019 18 70 1 48 146.7
"41" "Egypt" 2019 33 163 1 60 214.82
"42" "Nigeria" 2019 18 25 0 17 86.93
"43" "South Africa" 2019 25 204 192 5 446.66
"44" "Iran" 2019 70 258 3 226 637.76
"45" "Kuwait" 2019 14 59 0 26 94.42
"46" "Saudi Arabia" 2019 106 289 0 98 534.33
"47" "United Arab Emirates" 2019 18 118 3 75 199.27
